"","VTDST20GEOID","B15003_001","B15003_002","B15003_003","B15003_004","B15003_005","B15003_006","B15003_007","B15003_008","B15003_009","B15003_010","B15003_011","B15003_012","B15003_013","B15003_014","B15003_015","B15003_016","B15003_017","B15003_018","B15003_019","B15003_020","B15003_021","B15003_022","B15003_023","B15003_024","B15003_025"
"8616","42117000280",431.629287598945,5.25461741424802,0,0,0,0,0,0,0,0,0,4.50395778364116,6.00527704485488,20.2678100263852,9.00791556728232,0,188.415567282322,25.5224274406332,32.278364116095,42.787598944591,36.7823218997361,44.2889182058047,13.5118733509235,3.00263852242744,0
"8617","42117000291",362.245643153527,0.907883817427386,0,0,0,0,0,0,0,0,0,6.80912863070539,13.6182572614108,14.9800829875519,8.17095435684647,0.907883817427386,120.294605809129,11.3485477178423,45.3941908713693,60.3742738589212,30.4141078838174,36.7692946058091,4.99336099585062,2.26970954356846,4.99336099585062
"8618","42117000310",220.949720670391,0.837988826815642,0,0,0,0,0,0,0,0,0,2.23463687150838,1.39664804469274,8.65921787709497,2.79329608938547,1.67597765363128,86.8715083798883,6.98324022346369,15.9217877094972,15.6424581005587,25.4189944134078,43.5754189944134,8.37988826815642,0,0.558659217877095
"8619","42117000330",116.248693834901,1.30198537095089,0,0,0,0,0,0,0,0.929989550679206,0.185997910135841,0.929989550679206,0.929989550679206,3.1619644723093,2.97596656217346,2.04597701149425,41.4775339602926,6.69592476489028,7.99791013584117,14.3218390804598,12.0898641588297,14.3218390804598,5.76593521421108,0,1.11598746081505
"8620","42117000340",508.751306165099,5.69801462904911,0,0,0,0,0,0,0,4.07001044932079,0.814002089864159,4.07001044932079,4.07001044932079,13.8380355276907,13.0240334378265,8.95402298850575,181.522466039707,29.3040752351097,35.0020898641588,62.6781609195402,52.9101358411703,62.6781609195402,25.2340647857889,0,4.88401253918495
"8621","42117000350",349.913494809689,2.16262975778547,0,0,0,0,0,1.29757785467128,0,0,0.865051903114187,8.21799307958478,8.21799307958478,5.19031141868512,8.65051903114187,1.29757785467128,162.19723183391,15.1384083044983,21.6262975778547,44.9826989619377,28.1141868512111,25.9515570934256,9.94809688581315,5.19031141868512,0.865051903114187
"8622","42117000410",154.703557312253,0,0,0,0,0,0,0,0,1.20158102766798,0,0,0,18.0237154150198,5.40711462450593,1.20158102766798,59.4782608695652,8.41106719367589,5.10671936758893,16.5217391304348,11.1146245059289,9.01185770750988,18.3241106719368,0.600790513833992,0.300395256916996
"8623","42117000430",1125.70627132942,0,0,0,0,0,0,0,0,1.05067808708066,0,21.0135617416131,34.9693175356805,34.6723768736617,0,4.72805139186296,365.636201964478,34.0968266118522,59.952638936089,72.743517452315,111.728251557054,147.483300504042,218.687349119988,14.1430515733314,4.80114798036621
"8624","42119000010",1867.27580125812,0,0,0,0,0,0,0,0,0,24.5175100571397,54.1210767781728,29.4215206951143,80.4005550416281,91.2525329511523,23.7608569594502,893.634927930566,74.034595396891,77.3612269872022,63.4083913037014,139.695144064526,227.798005185819,36.4902331161909,35.4976336712325,15.8815911193339
"8625","42119000020",801.72419874188,0,0,0,0,0,0,0,0,0,28.4824899428603,24.8789232218272,31.5784793048857,0.599444958371878,42.7474670488477,16.2391430405498,287.365072069434,8.96540460310903,16.6387730127978,6.59160869629862,143.304855935474,169.201994814181,12.5097668838091,12.5023663287675,0.11840888066605
"8626","42119000030",1374.31400757767,0,0,0,0,0,0,0,0,0,0,0,0,17.4104294478528,6.58773006134969,5.64662576687117,265.927761639624,15.7566832804712,49.7051851192942,97.2173246863716,239.085542932276,303.185840924443,254.914532955654,0,118.876350763466
"8627","42119000040",1166.04102593541,0,0,0,0,0,0,0,0,0,0,0,3.34756820877817,21.0139430459431,7.20613496932515,10.1150026563034,226.91404493782,16.1353689140721,51.7022991066299,86.1142198267244,206.93690537897,219.686941789935,193.046364802135,0,123.822232298779
"8628","42119000055",253.095734549647,0,0,0,0,0,0,0,0,0,0,0,9.6797153024911,5.69395017793594,0,11.3879003558719,38.7188612099644,19.9288256227758,37.5800711743772,40.4675669676421,12.6757341200226,32.6045597427984,16.2006272510508,0,28.1579226247163
"8629","42119000070",168.369453044376,2.59029927760578,0,0,0,0,0,0,0,0,0,6.47574819401445,7.77089783281734,3.36738906088751,6.9938080495356,1.55417956656347,84.702786377709,15.2827657378741,11.1382868937049,9.32507739938081,3.36738906088751,12.4334365325077,1.55417956656347,0,1.81320949432405
"8630","42119000100",662.074626332758,18.1087832393231,0,0,0,0,0,0,21.4012892828364,0,0,0,0,54.8751007252216,0,0,230.01629537301,0,4.45921450151057,45.0774048476321,34.6031608852621,86.5426072759112,139.55321983944,27.4375503626108,0
"8631","42119000110",1110.70481927711,32.6024096385542,0,0,0,0,0,0,0,0,7.40963855421687,88.9156626506024,51.1265060240964,8.89156626506024,12.5963855421687,15.5602409638554,394.192771084337,70.3915662650602,47.421686746988,80.7650602409639,145.969879518072,92.6204819277108,45.1987951807229,11.1144578313253,5.92771084337349
"8632","42119000120",556.510378510379,0,0,0,0,0,0,0,0,0,0,19.8046398046398,0,0,0,18.8144078144078,178.241758241758,0,0,0,23.7655677655678,61.3943833943834,170.319902319902,0,84.1697191697192
"8633","42119000130",919.826312818782,7.82749326145553,0,0,0,0,0,0,0,0,0,0,0,20.5471698113208,207.428571428571,0,73.3827493261455,6.84905660377358,0,181.685707506643,0.642974302897758,103.806139186128,223.72653225438,0,93.9299191374663
"8634","42119000170",1352.52970792066,2.17650412873956,0,0,0,0,0,0,0,0,0,25.3176885266008,7.89888002339983,52.930911404029,18.2291235222996,19.4937546020891,524.119746382431,54.5971501067639,71.6756316138097,144.71883414904,82.6308363682659,183.692594663894,129.940865750346,34.8404430299899,0.266743648960739
"8635","42119000180",1057.99323362554,11.8234958712604,0,0,0,0,0,0,0,0,0,14.1423994683709,0.608348134991119,35.7900188285291,7.90852575488455,43.6438946750951,489.397538344156,6.83025404157044,27.6285795741225,102.827991746623,75.9342170572527,106.821547385132,90.9139425463227,32.9892238461886,10.7332563510393
"8636","42119000200",1004.74280465401,3.7109614206981,0,0,0,0,0,0,0,0,0,4.63870177587263,20.4102878138396,15.7715860379669,15.7715860379669,5.56644213104715,310.793018983466,26.9044703000612,34.3263931414574,107.617881200245,114.112063686467,180.909369259032,87.2075933864054,30.6154317207593,46.3870177587263
"8637","42119000205",78.257195345989,0.289038579301898,0,0,0,0,0,0,0,0,0,0.361298224127373,1.58971218616044,1.22841396203307,1.22841396203307,0.433557868952848,24.206981016534,2.09552969993876,2.67360685854256,8.38211879975505,8.88793631353338,14.0906307409675,6.79240661359461,2.38456827924066,3.61298224127373
"8638","42119000220",1088.79995043487,5.07991038088125,0,0,0,0,0,0,0,0,0,9.89058295964126,3.47572815533981,42.792820423514,44.2421337119931,13.945286791227,327.565929999297,67.3644088855548,213.272631674129,12.2968562979534,136.200255193455,212.673405961882,0,0,0
"8639","42119000230",881.662349856161,0.156086631814787,0,0,0,0,0,0,0,0,0,7.52,4.48706517480082,35.8711853992728,29.1018417465681,23.5270897341009,261.665639864656,59.0991880025586,168.490267707534,21.6818281496465,94.865134478913,162.766529692752,11.3650224215247,0,1.06547085201794
